航空会社,国,国番号,アライアンス,アライアンス種別
日本航空,日本,153,ワンワールド,2
全日空,日本,153,スターアライアンス,1
ピーチ,日本,153,未加盟,0
バニラエア,日本,153,未加盟,0
ジェットスター・ジャパン,日本,153,未加盟,0
春秋航空日本,日本,153,未加盟,0
エアアジア・ジャパン,日本,153,未加盟,0
スターフライヤー,日本,153,未加盟,0
中国国際航空,中国,131,スターアライアンス,1
中国南方航空,中国,131,未加盟,0
中国東方航空,中国,131,スカイチーム,3
海南航空,中国,131,未加盟,0
四川航空,中国,131,未加盟,0
天津航空,中国,131,未加盟,0
深セン航空,中国,131,スターアライアンス,1
山東航空,中国,131,未加盟,0
春秋航空,中国,131,未加盟,0
北京首都航空,中国,131,未加盟,0
アモイ航空,中国,131,未加盟,0
上海吉祥航空,中国,131,未加盟,0
奥凱航空,中国,131,未加盟,0
エバー航空,台湾,125,スターアライアンス,1
チャイナエアライン,台湾,125,スカイチーム,3
タイガーエア台湾,台湾,125,未加盟,0
香港エキスプレス航空,香港,208,未加盟,0
香港航空,香港,208,未加盟,0
キャセイドラゴン航空,香港,208,未加盟,0
キャセイパシフィック航空,香港,208,ワンワールド,2
マカオ航空,マカオ,211,未加盟,0
大韓航空,韓国,124,スカイチーム,3
アシアナ航空,韓国,124,スターアライアンス,1
チェジュ航空,韓国,124,未加盟,0
エアプサン,韓国,124,未加盟,0
イースター航空,韓国,124,未加盟,0
ジンエアー,韓国,124,未加盟,0
ティーウェイ航空,韓国,124,未加盟,0
エアソウル,韓国,124,未加盟,0
ミアットモンゴル,モンゴル,233,未加盟,0
タイ国際航空,タイ,123,スターアライアンス,1
タイエアアジアX,タイ,123,未加盟,0
ノックスクート,タイ,123,未加盟,0
シンガポール航空,シンガポール,99,スターアライアンス,1
スクート,シンガポール,99,未加盟,0
ジェットスター・アジア,シンガポール,99,未加盟,0
フィリピン航空,フィリピン,179,未加盟,0
セブパシフィック航空,フィリピン,179,未加盟,0
ベトナム航空,べトナム,195,スカイチーム,3
ベトジェットエア,ベトナム,195,未加盟,0
ジェットスター・パシフィック,ベトナム,195,未加盟,0
エアアジアX,マレーシア,219,未加盟,0
マレーシア航空,マレーシア,219,ワンワールド,2
インドネシアエアアジアX,インドネシア,27,未加盟,0
ガルーダインドネシア航空,インドネシア,27,スカイチーム,3
ウズベキスタン航空,ウズベキスタン,31,未加盟,0
エアインディア,インド,26,スターアライアンス,1
パキスタン航空,パキスタン,163,未加盟,0
スリランカ航空,スリランカ,108,ワンワールド,2
デルタ航空,アメリカ,5,スカイチーム,3
ユナイテッド航空,アメリカ,5,スターアライアンス,1
アメリカン航空,アメリカ,5,ワンワールド,2
ハワイアン航空,アメリカ,5,未加盟,0
エア・カナダ,カナダ,51,スターアライアンス,1
アエロメヒコ航空,メキシコ,225,スカイチーム,3
ルフトハンザドイツ航空,ドイツ,137,スターアライアンス,1
KLMオランダ航空,オランダ,43,スカイチーム,3
エールフランス航空,フランス,187,スカイチーム,3
アリタリア-イタリア航空,イタリア,23,スカイチーム,3
ブリティッシュ・エアウェイズ,イギリス,19,ワンワールド,2
LOTポーランド航空,ポーランド,202,スターアライアンス,1
フィンエアー,フィンランド,180,ワンワールド,2
スカンジナビア航空,スウェーデン,103,スターアライアンス,1
オーストリア航空,オーストリア,40,スターアライアンス,1
スイスインターナショナルエアラインズ,スイス,102,未加盟,0
ターキッシュエアラインズ,トルコ,144,未加盟,0
アエロフロート・ロシア航空,ロシア,249,スカイチーム,3
S7航空,ロシア,249,ワンワールド,2
オーロラ航空,ロシア,249,未加盟,0
ヤクーツク航空,ロシア,249,未加盟,0
カンタス航空,オーストラリア,39,ワンワールド,2
ジェットスター航空,オーストラリア,39,未加盟,0
ニュージーランド航空,ニュージーランド,156,スターアライアンス,1
エア・カレドニア・インターナショナル航空,ニューカレドニア,155,未加盟,0
エア・タヒチ・ヌイ,タヒチ,189,未加盟,0
ニューギニア航空,パプアニューギニア,168,未加盟,0
フィジーエアウェイズ,フィジー,178,未加盟,0
エミレーツ航空,UAE,8,未加盟,0
エティハド航空,UAE,8,未加盟,0
カタール航空,カタール,49,ワンワールド,2
エジプト航空,エジプト,34,スターアライアンス,1
エチオピア航空,エチオピア,36,スターアライアンス,1
